gs,ACH-000439,ACH-000789,ACH-000531,ACH-000399,ACH-000175
OTOL1,-0.007588423,-0.007588423,-0.007588423,-0.007588423,-0.007588423
HS3ST3B1,2.064648478,2.923683566,1.923110645,0.539179071,2.399331471
SPDYE11,0.139870502,0.039888447,0.004627946,-0.007358698,0.039888447
KRT12,-0.021913791,-0.021913791,0.032504902,0.05893425,0.122885607
DRICH1,0.219839547,0.079018301,0.054035038,0.306099518,0.127626045
CHRNA10,0.144991147,0.848556078,0.178468307,0.999672721,0.473810285
IQCF6,-0.005480127,-0.005480127,-0.005480127,-0.005480127,-0.005480127
KLHL23,4.2232055,5.257481292,0.576034445,5.008906547,0.360232474
RPF2,3.494067942,4.489100153,3.917088567,4.337517751,4.389292081
SH3GL1,3.899352306,5.128133462,5.53475044,5.232555974,5.786083454
GPR174,0.823534998,0.020814051,0.006129682,0.006129682,0.006129682
VHLL,-0.005026225,0.142805662,-0.005026225,0.205384049,0.030727483
FSIP2,-0.033036765,0.365221759,-0.020750186,0.128848401,0.062024682
C3orf84,-0.000951789,-0.000951789,-0.000951789,-0.000951789,-0.000951789
CHRNE,0.149818624,0.162244219,2.648176663,0.559110127,0.234601588
MAPK4,-0.000951688,0.469795306,-0.000951688,0.836860328,0.012969485
TPTE2,0.022579538,0.05495073,0.006152757,0.006152757,0.006152757
TMEM207,-0.004252782,-0.004252782,-0.004252782,-0.004252782,-0.004252782
CD160,0.112987893,0.475051725,0.126031137,1.078619835,0.177172949
DCTD,6.139311271,6.25296498,6.835765673,5.684696923,6.924823891
DNAJC25-GNG10,0.933943345,2.443527031,2.741383823,3.002525003,3.503269117
MYH11,5.562926266,0.133593008,0.306853112,0.576551293,0.091031886
KCNV1,-0.017251287,0.640098051,-0.017251287,-0.017251287,-0.017251287
HSPA4L,-0.033872902,2.585682306,2.097634066,3.59778347,2.348224758
NBPF4,0.003293986,1.291869193,0.065931006,-0.022624959,-0.022624959
EPHB1,-0.026054379,3.373916567,0.493617366,3.104627712,1.71535322
HTR5A,-0.000185134,-0.000185134,-0.000185134,-0.000185134,-0.000185134
PCOLCE2,0.019829331,1.580067683,0.229918313,1.160486282,7.422436412
MED6,4.366399392,5.794820617,4.143995244,5.041267631,5.054809816
EIF4EBP2,4.515168348,5.034123246,4.130193549,4.376242868,4.157386153
TRAF1,0.451237532,0.813943597,0.764767129,0.959912897,1.252125139
PIP5K1A,4.369354262,6.824457515,5.1657649,5.586665109,5.215425269
IRGM,2.584998653,0.03059532,0.056172713,0.017619769,0.360528218
PCMT1,5.622527636,6.403096761,6.036953074,6.831011455,6.375994346
CD1A,-0.011036137,-0.011036137,-0.011036137,-0.011036137,-0.011036137
TMEM203,3.780868939,5.608671421,4.704117719,5.831804814,5.013034101
TMEM168,2.988208762,4.000845574,3.670112926,4.389160978,3.953346554
IQANK1,0.066563815,1.162373053,-0.041052263,2.725165771,0.111738291
TGFBI,0.461724932,0.632172941,11.49402782,0.129637746,12.17041121
PHF20L1,3.389935369,4.177357591,3.899413713,4.831250168,4.485570985
MND1,3.742527681,3.401167438,1.081102841,3.241425937,2.479568835
RSPRY1,3.177195783,4.655319501,4.012514638,4.196958394,4.201499519
PIK3IP1,1.879442799,1.492318408,4.838383869,2.116919721,4.315551494
FGB,0.007305877,0.25322062,0.019569448,-0.042956778,-0.005076185
COA8,4.184534906,5.708593866,5.007732484,4.636434505,4.872702492
LCN10,0.192539023,0.052729596,-0.001809477,0.168142466,-0.001809477
YWHAB,6.584032859,7.180263576,6.998218118,7.412681521,7.396283955
ACSS3,-0.003192952,5.14275492,3.029351494,-0.003192952,0.676405824
ZCCHC7,3.999885614,3.354730603,3.313577367,3.978202836,3.514334549
ZNF683,0.537948262,0.000988152,0.000988152,0.000988152,0.000988152
FN1,0.954417886,3.772889421,14.34968067,8.863500555,11.68167672
ZNF777,3.101150483,2.356332329,2.328062322,2.572704825,2.695989596
HNRNPA2B1,8.560896139,10.74401046,7.79461975,9.931899405,8.540406953
TMEM191B,0.438082328,1.076640264,0.48090283,1.534499413,1.015838725
CCDC88C,3.993472634,5.855254734,0.243965422,3.316583437,0.031202316
SCN11A,-0.02118339,0.067365747,0.067365747,-0.02118339,0.081634994
CD5,-0.008563119,0.042543287,-0.021652907,0.127505739,-0.021652907
NQO2,4.385316065,3.338798264,4.769740872,5.253026562,5.422814767
ISOC2,4.909897142,5.127331193,5.128088225,5.151016743,5.45662472
XAB2,4.976216803,4.753744065,3.393946024,4.954586559,3.952129923
PPP3R2,-0.005238119,0.701394502,0.009153031,0.009153031,-0.005238119
NXF2B,-0.001502497,0.484378589,-0.015406271,0.29639618,-0.015406271
GATM,0.147375246,0.445502791,0.134092738,1.076146254,0.147375246
SPANXN3,0.001567197,0.001567197,0.001567197,0.001567197,0.063941045
TEDDM1,-0.005536964,0.070205917,0.005602288,0.027553689,-0.005536964
FNIP1,2.899506949,2.760578964,2.554208605,3.84446283,3.504356329
ABCA1,0.090103702,0.396750923,3.257051069,1.51175731,2.518430766
NFIL3,3.763384141,3.305261821,5.210028365,4.173020006,5.159271214
SLFN14,0.397039821,-0.013759402,-0.013759402,-0.013759402,-0.013759402
UMAD1,2.007825074,4.061697872,3.108491887,4.598344292,3.519499461
C10orf105,-0.001345944,-0.017083238,-0.017083238,0.044947652,0.17621433
H4C2,0.00692929,0.043802501,0.00692929,0.150311387,-0.011779341
ADAMTS9,0.009443323,0.173848033,0.771926266,0.052306994,1.786973921
CD48,2.612766844,0.196712176,0.064880861,0.196712176,-0.005687854
IRF8,0.087933959,0.482379239,0.063635764,1.360932861,0.01369758
MOV10L1,0.016217899,0.918071453,0.195571832,0.069880871,0.195571832
TXK,0.22625139,0.296146047,0.214266195,1.844358326,0.140188025
PTGIR,4.899339645,0.012149796,4.519678675,-0.014157624,1.8954846
PTPN20,0.072134524,0.583566711,-0.036808236,-0.022722973,0.161032795
CLVS2,0.008741682,0.100598151,0.008741682,1.342188195,0.008741682
OR2F1,-0.000826823,-0.000826823,-0.000826823,-0.000826823,0.023139731
PARD3B,0.12195963,1.534140778,3.299716283,0.012718508,3.060311765
UPK3BL2,2.265531914,3.872437948,0.316156154,4.087058851,1.803215315
ATP5F1B,9.461033602,10.32915662,8.747264206,9.405728057,8.942579554
SERPINA7,-0.001298681,-0.001298681,-0.001298681,-0.001298681,-0.001298681
FUT6,0.535055838,0.090698009,0.003717331,0.321580288,0.003717331
SPATA1,0.57473871,0.320498013,0.472621067,1.044274883,0.482210953
PPP1R3C,0.069460304,4.196255357,6.124614607,1.964029167,6.029664874
PPP4R1,4.401856559,3.748976128,4.581079235,6.497851911,5.278067822
TCF21,0.00812554,0.00812554,5.789660204,0.00812554,3.155016001
FAM214B,2.594841452,1.413162346,5.05431167,3.471509439,5.036825218
HMG20B,5.87993554,6.220254027,4.844443521,5.655010605,5.110176202
ZMYND15,-0.018214416,0.407236353,0.057067302,0.15107025,0.531219007
GNPTAB,5.494849248,3.300340695,5.01489301,6.214893836,3.742543274
SRPK2,4.313880837,6.092717497,4.237340569,5.863920614,5.109179862
PITRM1,5.027458439,6.758748049,5.629163804,4.81323565,6.105359363
SERINC3,5.956906917,5.618684947,6.931461748,6.212928647,7.699358
GLYCTK,3.228314695,4.142847286,1.350929642,2.015635786,2.196546521
PGAM5,4.79474796,6.101840777,2.964249999,4.817821762,3.121086103
TCIRG1,6.596313304,2.632035765,4.821785974,1.999842553,5.419197163
OR2S2,-0.001341255,-0.001341255,0.125910161,0.659142205,0.531076437
RHBG,-0.021672991,0.146634201,-0.021672991,1.091358334,-0.009690385
CDYL,3.688017701,3.117513609,3.315585554,3.225063134,3.581152068
C1orf158,0.000635706,0.000635706,0.000635706,0.824307802,0.000635706
KLHL1,0.008218926,0.008218926,-0.003951682,0.008218926,-0.003951682
ASB16,0.394471842,1.420594214,0.233920791,0.915810281,0.279989034
CRACR2B,2.440022849,2.153658036,0.459074655,3.218015459,0.770326068
ZNF438,2.240235717,0.899092711,1.691210367,1.845544941,2.524733032
ZDHHC18,2.946410222,3.988352383,3.82669563,4.54809129,3.265337239
DCAF4L2,-0.013448157,0.042470239,-0.013448157,-0.013448157,0.000738392
ASB8,3.939784471,5.308154203,4.020206612,4.836616504,4.73168683
CNPY4,3.037103297,4.971728979,4.985076315,6.217098942,5.735898655
ACSM2A,-0.003347053,-0.003347053,-0.003347053,-0.003347053,0.008928674
HELT,-0.001850569,-0.001850569,-0.001850569,0.213082737,-0.001850569
FAHD1,2.859105183,6.715388445,4.920781326,4.021275093,4.311368485
GPR119,-0.001910098,0.71941581,0.009272247,0.020344419,-0.001910098
FCRL3,0.005758068,0.047854077,0.128520692,0.005758068,0.005758068
SYNM,0.156249745,0.942269339,2.709488186,3.506818599,3.532987728
SERPINB13,-0.002160696,0.073020864,0.013171932,-0.002160696,0.013171932
SMIM4,3.92448901,5.155643014,5.031147226,4.982362129,5.319714262
TEX19,0.034646293,0.868977926,-0.005631416,1.653882527,0.034646293
TSPYL6,0.007166498,0.007166498,0.007166498,-0.005769502,0.007166498
HIP1R,0.016639009,5.211304211,2.201810268,4.732748926,2.585509434
UNC79,-0.01483521,2.646456324,0.035450732,2.163856114,0.010554277
OVCH2,-0.005378321,0.031202345,0.583988027,-0.005378321,0.066732702
NHP2,7.259598355,7.511222601,6.545129265,7.208111962,7.078951354
SUSD2,-0.057857259,0.68087321,2.722899634,0.577013256,3.249181436
CDKN2B,-0.026794436,1.905007404,3.872276658,4.014001301,2.054831081
KIF27,0.180993644,1.642793974,0.7089995,2.416528841,0.995518597
NANOGNB,0.000897865,0.000897865,0.000897865,0.000897865,0.000897865
TRIM61,0.02278407,0.086997612,1.80501629,0.02278407,1.357728248
OR6P1,-4.15E-05,-4.15E-05,-4.15E-05,-4.15E-05,-4.15E-05
UNC45B,0.007951703,0.007951703,0.0299249,0.007951703,0.0299249
C9orf85,2.661183287,3.90219471,3.348674172,4.048295484,3.740174064
AIFM3,1.347483554,3.42493038,0.103864314,0.092098006,0.068243994
MSMO1,3.530103225,5.201553937,5.616440747,6.605115975,5.016477479
ZDHHC15,0.019714356,0.034504123,0.253078342,3.342286831,0.885095972
HTN1,0.018810892,0.018810892,0.018810892,0.018810892,0.018810892
KIF12,-0.073270288,4.848290016,-0.023900069,-0.085918386,-0.085918386
PDE4C,-0.027327105,0.02302963,0.869030514,1.742915019,0.493262585
MTLN,4.998248205,5.137090107,5.686518985,6.304099934,6.152758579
E2F7,-0.295280602,2.969041254,2.306084664,3.818302064,2.660503564
PLSCR1,2.414548287,5.840650824,3.567430335,6.136877726,3.820040995
NDUFA13,8.445290396,8.885230815,8.883498031,8.800826029,9.049660974
TMEM263,-0.0620656,5.624675393,6.08608585,5.17364099,6.386944097
BSN,0.053199419,2.298493836,0.006385572,2.051872897,0.018255708
GAGE13,-0.016222536,0.182070668,-0.016222536,-0.016222536,-0.016222536
SOCS5,2.555551468,3.172004706,5.047348347,3.713955903,5.937890829
STAT5A,7.064250209,0.360817615,2.273240546,3.786408253,3.503197834
CTR9,3.947461857,4.847782532,4.236321832,5.144188123,4.772846693
WDR13,5.061588737,4.95639522,5.492426008,4.904816264,5.432097152
CD4,2.866409686,0.615455314,6.280949264,1.357524104,0.480583316
MAP3K7,2.847637675,4.08637155,4.146856605,4.774411184,4.596560451
EMILIN3,0.024392998,0.133366653,0.294442747,1.207086357,0.09346861
OR8B4,-0.00045565,-0.00045565,-0.00045565,-0.00045565,-0.00045565
MKRN2OS,0.283322165,0.506707982,-0.151216861,0.271822174,-0.048122562
CST3,7.510872685,7.214907222,8.46394143,7.09805139,8.676131099
FAIM2,-0.001686394,0.05735169,0.526149749,4.322125966,2.596923021
ALPL,0.025156041,0.801347467,5.284117379,3.598620652,1.265013154
TMEM95,-0.002895686,-0.002895686,-0.002895686,-0.002895686,-0.002895686
GLRX3,5.21243638,6.02859253,5.860575342,6.176965738,6.492366872
SNX24,0.186185397,3.145286269,4.348329883,4.395547542,4.145564039
PSMC3IP,2.953004236,5.961818242,3.549972141,5.011983494,4.27521282
CHAD,0.40617818,-0.037524785,0.031433673,-0.037524785,0.107400519
OXSR1,4.417516403,3.636448556,4.786030978,4.10601774,5.039862914
SMAP1,3.382758995,4.578844609,3.65800049,5.537764411,4.1462717
PIK3R3,0.969972122,4.406180056,1.574077001,5.689348678,2.324261612
HMGCS1,4.910061284,6.425433138,3.742514949,7.600415944,4.337770057
THAP1,2.810539838,2.130196067,2.703935158,3.35267421,3.118256781
NR4A2,0.081079788,3.453952845,0.854632091,1.83148975,4.861014548
CHCHD5,4.144254767,5.192300238,4.454632576,5.116853019,4.83708212
KRT4,-0.016432435,-0.003185675,0.2601406,3.088722067,0.035810589
HS6ST3,-0.004667236,0.229086942,0.008703774,0.060895787,0.021943048
PKN2,2.408199227,4.184171817,3.484368798,5.332195636,3.841478497
ID1,1.527938323,8.027683513,3.017654879,8.336527714,6.858820396
SECISBP2L,2.048167103,3.449375862,4.410120814,3.815505666,4.509182318
SMYD2,3.160816518,3.77616892,4.966180578,5.399359665,4.194288854
ASAP2,0.227453613,3.095422904,3.852283016,3.049606892,5.156118377
SPATA16,-7.72E-05,-7.72E-05,-7.72E-05,-7.72E-05,0.011993957
KCNK5,3.488678465,0.106621842,-0.104213018,3.108536603,-0.104213018
CYTH4,2.210208794,-0.020804805,0.006413785,0.033113894,-0.0346149
UROD,6.998077677,7.127596036,6.732003395,6.331056077,6.596321381
HMGCLL1,-0.00896082,0.123671671,0.136265313,0.018596276,0.072125486
PHB,6.847812184,8.01323224,6.966806143,7.266084835,6.653628761
BFAR,5.403822997,5.129167299,5.615529591,5.752590843,5.923519841
FRMD5,-0.055874805,1.988685209,0.695203228,2.935776713,2.183869586
SMIM30,6.465856534,7.008467245,5.746483143,5.761856672,6.371946004
TAS2R20,0.250246705,1.219967758,0.157598495,0.655498629,0.542055063
NRAS,4.221457167,5.674113691,4.368712398,5.803414717,4.864150177
S1PR2,0.592497185,0.88603356,3.336603964,2.210974064,3.136991978
LIN52,3.063877852,5.341089686,3.062039854,4.790420967,3.231106651
OR4D5,-0.000410955,-0.000410955,-0.000410955,-0.000410955,-0.000410955
EBAG9,4.534470184,4.416599278,3.5426648,5.077596297,4.132922749
ANKRD33B,3.579993167,0.071253267,1.197855579,0.506084254,0.86600244
KLHL15,2.040383103,2.574598172,1.366999272,2.222220708,2.144081648
OR5P2,-0.001550912,-0.001550912,-0.001550912,-0.001550912,-0.001550912
WSCD2,-0.009802379,-0.009802379,0.058454113,3.620908545,0.110758544
ZNF709,0.720489364,1.025764271,0.387275574,2.133798996,0.786626906
NRDE2,2.959920517,2.819358682,2.009565651,3.027672627,2.681282767
FCGRT,5.44015869,7.05218241,6.108695769,5.093418213,6.613018842
C11orf54,3.405940123,5.42250901,3.652524308,5.43961521,4.166500115
HTR3A,-0.007591904,-0.007591904,-0.007591904,3.087210019,-0.007591904
ATG3,5.429718205,6.048798808,5.245393531,6.251068514,5.570259956
KIF9,4.050915088,3.164825284,2.216064802,3.174412065,3.056887256
KIFC1,4.450222364,5.723047897,2.258623015,6.792450271,4.04201868
GRM3,-0.010826822,0.024236773,-0.010826822,0.058619477,0.006791768
CEP85L,1.004494695,1.802142021,1.618161579,1.837800768,1.608994104
SORD,5.069150147,6.574129472,3.075232448,4.621255826,2.826484534
TNFRSF10D,2.221079976,-0.151528491,7.047732784,0.039136098,5.793947249
PPIAL4E,-0.003469421,-0.003469421,-0.003469421,-0.003469421,-0.003469421
ITIH4,0.26891811,0.06398281,0.765375606,1.626031812,0.893665321
RGN,0.014345487,0.192183727,2.410370491,0.168136301,3.405432905
CNN1,0.131272704,0.145047935,7.560197654,0.145047935,4.193603335
PIM2,3.215201792,3.086500966,1.950491717,3.385990514,2.162425622
JUND,4.073568856,6.278162656,5.350209193,4.937468237,5.761068845
CILP,-0.000179924,0.095335762,0.013867248,0.172358271,1.138345564
FBXO40,0.012507097,-0.003430633,-0.003430633,0.012507097,-0.003430633
ZNHIT2,2.635014504,3.426349336,1.786275571,3.053629617,2.530993342
PCK1,-0.011029536,0.08171369,-0.011029536,0.0026099,-0.011029536
ATXN2,4.246169512,5.21833672,4.822012403,5.545930262,5.182545808
TIGD6,1.717784243,1.882028411,2.543952848,2.788031249,2.046999047
TIMM10,5.551962885,6.706374447,5.60991211,6.201716854,6.079154304
H3-2,-0.026670318,0.226449872,1.668229108,0.87896409,2.275476579
U2AF2,7.267435982,7.891180489,6.274934485,7.488718031,6.879967389
MT3,0.016205167,0.157787781,0.450963858,5.940161956,0.657614965
RBMX2,3.631160075,4.148497644,3.659357043,5.104397917,3.752409329
SERPINC1,0.065654168,0.267297927,0.099807848,0.122053893,0.196849661
AKIRIN2,4.302222501,5.220233874,4.781978342,5.296671622,4.860252389
HAS3,0.523150525,1.061196902,0.382871662,4.196573587,3.212385508
NRARP,2.066631969,2.78339703,-0.004990092,1.79854679,0.008303363
MYO1H,-0.003462567,0.099894816,0.056444028,0.36194725,0.026781558
TUFM,7.293392446,9.506471288,6.323590219,7.227800965,6.476863344
C14orf119,4.004615989,5.587168777,6.199273863,5.435248744,6.217192612
ARVCF,2.944298195,3.564234603,2.072856898,3.795685261,1.830871045
CRTAM,-0.004657938,-0.004657938,-0.004657938,0.029228651,0.062457207
CCDC6,3.233695871,3.217037158,3.458543823,3.572213736,3.837424995
CREB5,-0.005615892,0.513869555,0.885230999,0.140125155,1.411611256
EPHB4,0.369936216,0.360638732,3.56189336,5.079760448,3.79986398
NLRP14,-0.001078013,0.417777534,0.011861958,0.454935959,-0.001078013
COG5,3.634921303,4.568558209,4.327209502,4.207742653,4.340613408
BCL6,0.843161068,1.138876555,3.570303904,5.935661285,3.473133199
CFAP161,1.425439784,0.083373599,0.057242835,0.320685827,0.230579946
TRPC7,-0.006995176,0.052400031,-0.006995176,-0.006995176,0.022993599
TRIM16L,2.996646569,1.614389665,2.454018061,2.367922936,3.161414279
CLEC4E,1.177826337,-0.006235786,-0.006235786,-0.006235786,-0.006235786
DUSP5,2.144778743,1.584391659,3.983111768,1.357181552,3.889091354
ENTPD6,5.843309324,6.171388003,4.851498415,5.936949378,5.470296804
SIGLEC9,0.332412058,-0.001888611,0.048085842,0.010789954,-0.001888611
ZNF451,3.161910084,4.008306178,3.181035781,4.716149838,3.749941172
UFL1,2.652253098,3.812185595,3.842434134,4.55639659,4.01529282
RCBTB2,1.625652799,2.230662508,2.665517233,3.72244351,3.845690139
PLBD2,3.48883265,4.231393495,5.240242116,4.344870069,5.498896506
UNKL,2.809500642,5.233728492,2.274789383,3.965740869,2.799068186
ADAD1,-0.003984751,-0.003984751,-0.003984751,-0.003984751,0.007440461
TRPV3,1.457953696,0.020599504,0.316605803,-0.004332175,0.812431323
HSD17B6,2.060391632,1.354121305,3.30604783,3.775298771,0.413724861
OR4F21,-0.001302433,-0.001302433,-0.001302433,0.063751107,0.063751107
TP63,0.071941463,0.202068017,0.08548992,1.802140445,0.098913506
CLDN5,3.558840673,0.657992626,0.022927909,2.088887859,-0.001252019
LHCGR,0.000924535,0.000924535,0.038650957,0.000924535,0.013624318
RPUSD3,5.966136429,5.138433435,4.249310087,3.976327584,4.275876173
MRTFB,1.124721052,3.270007914,1.856069918,6.108409981,1.768091777
SHISA2,-0.018385702,0.157112072,0.051674281,7.194684397,1.747310253
PMF1,6.165723611,6.929016022,4.398365905,6.260234081,5.271938697
VARS1,5.549311632,6.04896957,4.464678775,5.315916072,4.975907987
LIMS2,0.206017852,1.920218885,5.821762018,0.240955996,4.908287531
GOLT1A,-0.091360687,4.04367577,0.146860112,0.09722502,-0.048817441
OR1E1,0.001213807,0.001213807,0.001213807,0.001213807,0.068290963
DLX5,0.02687133,1.490784427,0.162383363,3.65278334,1.37443849
KRT39,-0.003781493,0.009819869,0.075867768,0.101418523,0.101418523
ANGPTL4,0.016793356,0.003967669,6.453587971,0.127239991,4.499607613
FLG,-0.107492521,2.02637177,0.255781975,-0.119624689,4.090778922
FRG2B,0.014719116,-0.000388976,-0.000388976,-0.000388976,0.029678356
ZNF512,4.197432303,5.37916193,3.333817163,5.61483637,3.812245293
CAMKK1,2.252564241,4.720373584,0.782600442,2.045494854,2.556512976
TMEM123,7.686568345,6.437401817,6.446696106,6.530763908,7.246189961
AZIN1,6.090926521,5.59941947,5.843916862,6.987564995,5.833343195
PIN4,3.57049866,4.611808398,4.652131998,5.381826247,5.051954586
SNAPC2,3.409359313,2.534188726,4.467624254,4.22311501,4.6483795
ZNHIT1,5.932320523,7.330576529,6.960161341,6.348915455,7.202946482
MRPL37,6.160065384,7.091873197,5.581026002,6.382664892,5.985540972
RAD9B,0.339238216,0.237816951,0.669449386,2.60069732,0.545693762
ATP13A4,0.014246671,0.192258928,0.181128395,1.077793914,0.064177939
RBL2,4.471794311,3.697953896,3.84835196,4.568388067,4.418387713
LARP1,6.521974287,6.651156785,5.340331582,5.866897911,5.672030513
EME2,2.166772776,4.667249345,1.472722731,3.100860184,2.433035207
IQCB1,4.437047602,5.612751791,2.671188609,5.600705829,3.201361135
DLX1,4.929142428,5.0375275,0.213932097,4.612821745,3.494451034
ARHGEF39,2.468565982,4.807062722,0.409092468,4.85922697,1.421723007
GALNT5,-0.061588598,0.141996921,6.208232363,-0.021043227,6.831577663
PEBP4,0.018548564,0.06869615,0.564974962,0.117403891,0.888572541
IL1R2,0.060195145,0.791580674,-0.017662242,-0.00436998,0.180735412
SPDYE17,0.019156723,0.008115655,-0.01429176,0.220154296,0.030092132
ELAVL3,-0.014995864,4.942577947,0.011894082,4.418535019,0.13889292
OXTR,0.31428424,1.062734008,6.534903712,0.740865125,3.770440135
HSP90AB1,9.904601238,9.942983704,8.586901609,9.501443911,8.942503214
CSMD3,-0.006706448,1.229773166,0.019785636,0.019785636,0.006605169
ZNF354B,2.136985095,2.753901191,1.644042808,3.297919208,2.48198968
SPPL2A,2.475355286,4.822746668,5.564040549,4.737392155,6.542769398
SYCN,-0.000680977,-0.000680977,-0.000680977,-0.000680977,-0.000680977
GRAPL,1.252917661,0.062719015,0.038633215,0.09802404,-0.03644935
TSPAN4,6.447688412,2.740839752,7.514426165,5.190920917,8.114767711
SENP1,2.754650736,3.860872882,2.108483785,5.147965736,2.805903498
ZMYM2,3.901521522,5.175069033,4.071326417,5.039288341,4.158362493
DMRTA2,-0.026153395,0.105964213,-0.026153395,1.786007748,-0.038869925
URGCP,3.15485679,5.170078595,3.687064024,4.528822045,4.319688216
MROH7,0.918497353,0.302886933,-0.018808061,0.751521908,0.054804304
CALR3,0.020989777,0.336620951,-0.009748386,-0.009748386,0.005696781
USP9X,2.710367413,4.190522815,4.639802524,4.726130965,4.750510046
HMGA1,9.076559903,7.510036195,7.579107427,4.699319224,7.561645625
TADA1,4.224878283,4.95531699,2.223384986,4.577236899,2.704425165
DHDH,0.015620166,0.187646811,0.236745162,1.812870827,0.084202642
SCNN1G,-0.011772517,0.002812526,0.002812526,3.729738803,0.002812526
XRCC1,4.587691517,4.712939427,3.565927323,5.463038807,4.33713416
IL1A,0.040688252,0.081931791,0.295611985,0.173797413,0.397057741
EXTL2,2.640928303,4.301442922,4.468492827,4.919800442,5.108178061
